Generative AI use case,Function,% of respondents
"Use of chatbots (e.g., for customer service)",Service operations,6%
"Identifying and/or forecasting service trends, insights, and/or anomalies",Service operations,5%
"Creating first draft of documents (e.g., customer service call scripts)",Service operations,5%
Identifying trends in customer needs and/or preferences,R&D/product development,7%
Drafting of technical documents,R&D/product development,5%
"Creating first draft of text documents (e.g., advertising copy, technical sales content)",Marketing and sales,9%
Personalized marketing,Marketing and sales,8%
Summarization of text documents,Marketing and sales,8%
Creating images and/or videos,Marketing and sales,8%
"Use of chatbots (e.g., inside sales)",Marketing and sales,6%
